Date,Adj Close,Close,High,Low,Open,Volume
,ADI,ADI,ADI,ADI,ADI,ADI
2025-01-02,207.2720947265625,211.35000610351562,217.25,209.75,215.49000549316406,2378700
2025-01-03,211.21453857421875,215.3699951171875,216.11000061035156,210.39999389648438,212.75999450683594,2547200
2025-01-06,213.7937774658203,218.0,221.52999877929688,214.77999877929688,215.3300018310547,2490700
2025-01-07,211.7048797607422,215.8699951171875,220.27999877929688,214.3000030517578,219.7899932861328,3573100
2025-01-08,216.18670654296875,220.44000244140625,221.16000366210938,212.6300048828125,215.39999389648438,3096400
2025-01-10,208.27243041992188,212.3699951171875,219.3699951171875,211.7899932861328,217.5399932861328,4108500
2025-01-13,208.8412322998047,212.9499969482422,213.3699951171875,208.08999633789062,209.33999633789062,3960600
2025-01-14,210.50840759277344,214.64999389648438,214.8300018310547,211.5399932861328,213.16000366210938,1634600
2025-01-15,214.00955200195312,218.22000122070312,219.58999633789062,215.6999969482422,217.5,3302500
2025-01-16,210.87130737304688,215.02000427246094,218.3000030517578,212.7100067138672,218.3000030517578,3116000
2025-01-17,214.93142700195312,219.16000366210938,220.63999938964844,217.83999633789062,220.55999755859375,2871100
2025-01-21,217.17723083496094,221.4499969482422,223.64999389648438,219.16000366210938,219.22999572753906,4090900
2025-01-22,219.75648498535156,224.0800018310547,226.22000122070312,221.10000610351562,221.4499969482422,2883300
2025-01-23,223.944091796875,228.35000610351562,228.42999267578125,221.52999877929688,221.8800048828125,2608000
2025-01-24,213.17593383789062,217.3699951171875,226.0399932861328,217.1300048828125,224.6199951171875,3929200
2025-01-27,211.26356506347656,215.4199981689453,220.82000732421875,213.63999938964844,217.39999389648438,7088000
2025-01-28,205.4774169921875,209.52000427246094,213.91000366210938,207.89999389648438,212.80999755859375,3748600
2025-01-29,205.85989379882812,209.91000366210938,211.8699951171875,209.00999450683594,209.5399932861328,2258500
2025-01-30,208.3018341064453,212.39999389648438,213.07000732421875,209.10000610351562,210.22999572753906,2976400
2025-01-31,207.80169677734375,211.88999938964844,217.6199951171875,210.69000244140625,211.7100067138672,3486400
2025-02-03,201.28001403808594,205.24000549316406,209.64999389648438,202.77000427246094,209.2899932861328,4483500
2025-02-04,202.03512573242188,206.00999450683594,208.35000610351562,204.07000732421875,204.60000610351562,4651500
2025-02-05,205.7519989013672,209.8000030517578,210.5500030517578,204.16000366210938,205.42999267578125,4515700
